Date,AAPL AMD_cum_rets,GOOGL AMD_cum_rets,GOOGL UNH_cum_rets,TM MRK_cum_rets,META HD_cum_rets,JNJ LLY_cum_rets
2020-10-19,,,,,,
2020-10-20,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-21,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-22,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-23,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-26,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-27,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-28,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-29,1.0,1.0,1.019336112286372,1.0,1.020369397735502,1.0
2020-10-30,1.0,1.0,1.0071660347157387,0.9977328417857425,1.020369397735502,1.0
2020-11-02,1.0,0.9990685876576777,1.018655921058581,1.0014031225919295,1.0110596724680565,1.0
2020-11-03,1.0,1.0084683751565857,1.0280322944158535,0.994993672232038,1.0080777436269441,1.0
2020-11-04,1.0,1.0110230101893867,1.0280322944158535,1.0231447644552158,1.0359715354435024,1.0
2020-11-05,1.0075222424641803,1.0184636089143764,1.0333646927778586,1.0349151474272607,1.0359715354435024,1.0158381265315013
2020-11-06,0.9920174506862607,1.0184636089143764,1.0418835909127488,1.035973179713028,1.0359715354435024,1.0356679664668325
2020-11-09,1.0000575083191905,1.0336823955156305,1.0384046226475265,1.0430629504813114,1.0359715354435024,1.0498488829325092
2020-11-10,1.0289579649864118,1.0542811948338215,1.027279161877568,1.0430629504813114,1.0359715354435024,1.0498488829325092
2020-11-11,1.0353861048899513,1.0542811948338215,1.0332247292956087,1.0430629504813114,1.0359715354435024,1.0498488829325092
2020-11-12,1.0406812982941578,1.0542811948338215,1.0288954248017754,1.046746217252391,1.0359715354435024,1.0498488829325092
2020-11-13,1.0388278736718348,1.0542811948338215,1.035552782213347,1.0482402719524992,1.0359715354435024,1.0498488829325092
2020-11-16,1.0481360689428834,1.0542811948338215,1.035552782213347,1.0359939685016204,1.0359715354435024,1.0498488829325092
2020-11-17,1.0481360689428834,1.0542811948338215,1.035552782213347,1.04961847988933,1.0359715354435024,1.0583610708722466
2020-11-18,1.0481360689428834,1.0542811948338215,1.035552782213347,1.04961847988933,1.0370912775209045,1.0623001092614652
2020-11-19,1.0481360689428834,1.0542811948338215,1.0214585218428818,1.04961847988933,1.037665717331161,1.0623001092614652
2020-11-20,1.0497768596505745,1.0544182252701735,1.0263077115584844,1.04961847988933,1.0415197870481057,1.05380222250777
2020-11-23,1.0341211173293026,1.0494745075479104,1.030683245118357,1.04961847988933,1.0415197870481057,1.057222921843592
2020-11-24,1.0434861927810142,1.0615908949892412,1.0234582297120072,1.04961847988933,1.0528557203156919,1.0533403194378275
2020-11-25,1.0399985147342514,1.0615908949892412,1.0214320871235265,1.0586161586470557,1.0528557203156919,1.0545432626970936
2020-11-27,1.041943548278435,1.0615908949892412,1.0237700619145251,1.0586161586470557,1.0528557203156919,1.0482720851313987
2020-11-30,1.0251815061787624,1.0615908949892412,1.0319790949134307,1.0365779320032966,1.0528557203156919,1.0578212378644172
2020-12-01,1.0423364522878809,1.075864297638598,1.035169359617202,1.0373877912132259,1.0528557203156919,1.0578212378644172
2020-12-02,1.0423364522878809,1.080226789931967,1.0331251788474642,1.0383100343808322,1.0463085983188778,1.0545150666605263
2020-12-03,1.0423364522878809,1.0888560408888028,1.0298193333599877,1.043909349262289,1.052825462323691,1.0489841350777755
2020-12-04,1.0520101341293002,1.0888560408888028,1.0263797558974044,1.0470586434034765,1.0509266773024988,1.0593447663852484
2020-12-07,1.0520101341293002,1.0888560408888028,1.026942232727556,1.0470586434034765,1.0407955064763594,1.0600225055296923
2020-12-08,1.0520101341293002,1.0888560408888028,1.0250648613079865,1.0470586434034765,1.0455462126106663,1.057839492811226
2020-12-09,1.045454851464797,1.0888560408888028,1.0208086762366801,1.0470586434034765,1.0633149809432054,1.0788697711874664
2020-12-10,1.049209088144402,1.100180678950885,1.0247066595058862,1.0368393489439527,1.062772539820473,1.069730041802026
2020-12-11,1.051867598626626,1.100180678950885,1.0298250132611206,1.0125389760893218,1.0568208980616183,1.0774284066952935
2020-12-14,1.06893072672238,1.100180678950885,1.035147405593448,0.9967897732004085,1.0561918521084257,1.074366771382537
2020-12-15,1.0814983398925866,1.093993932788295,1.035147405593448,1.0044385164081953,1.054483109028706,1.0540113230035617
2020-12-16,1.0835133024877914,1.0980095302300144,1.035147405593448,0.9978362065173948,1.0522534411409616,1.042783657628857
2020-12-17,1.0835133024877914,1.0971310588122576,1.035147405593448,1.0035934175024503,1.0434717208784714,1.0576064800241785
2020-12-18,1.0835133024877914,1.1013639152882329,1.0366642563838822,1.0085010643222503,1.0538667098564143,1.0673271167804017
2020-12-21,1.0835133024877914,1.1199265256979871,1.0426629592351973,1.0085010643222503,1.0538667098564143,1.0673271167804017
2020-12-22,1.0715549343265127,1.1220501592941459,1.0426629592351973,1.0021886263672797,1.0538667098564143,1.0673271167804017
2020-12-23,1.069579804249158,1.1103808909467139,1.0426629592351973,0.9995992342737721,1.0575570443150455,1.0645371535199935
2020-12-24,1.0699405991738375,1.109733837478904,1.0426629592351973,0.993743123756748,1.0557365331630373,1.0648950828546435
2020-12-28,1.0552693257572252,1.098021457115002,1.0426629592351973,0.9974082678666828,1.0757589060297097,1.0609598667596107
2020-12-29,1.0611067629751314,1.0981708657598985,1.0426629592351973,0.9928717302106141,1.0714424340092945,1.0573976106007534
